instruction,input,output,prompt,formatted_input
Tell me about a modern scientific breakthrough,,"A recent scientific breakthrough is CRISPR-Cas technology, which is a powerful tool for editing genomes. It is a rapid, inexpensive and extremely accurate method of gene-editing and modification which has been used by a variety of industries, including pharmaceutical and agricultural businesses, to improve existing species. As a result, scientists have made progress in addressing certain diseases, increasing crop yields, and even creating pest-resistant crops.",Tell me about a modern scientific breakthrough,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Tell me about a modern scientific breakthrough<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Provide a short summary of the following book review.,"Book: The Hunger Games
Book Review:
The Hunger Games follows sixteen-year-old Katniss Everdeen, as she struggles to survive the annual Hunger Games, a fight to the death amongst twenty-four teenagers. Not only must she battle the other players, but she must also fight against the oppressive Capitol that controls her fate.","The Hunger Games is a novel about sixteen-year-old Katniss Everdeen who participates in the annual Hunger Games, a fight to the death amongst twenty-four teenagers. Katniss not only must battle the other players, but also the oppressive Capitol that controls her fate.","Provide a short summary of the following book review.

Book: The Hunger Games
Book Review:
The Hunger Games follows sixteen-year-old Katniss Everdeen, as she struggles to survive the annual Hunger Games, a fight to the death amongst twenty-four teenagers. Not only must she battle the other players, but she must also fight against the oppressive Capitol that controls her fate.","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Provide a short summary of the following book review.

Book: The Hunger Games
Book Review:
The Hunger Games follows sixteen-year-old Katniss Everdeen, as she struggles to survive the annual Hunger Games, a fight to the death amongst twenty-four teenagers. Not only must she battle the other players, but she must also fight against the oppressive Capitol that controls her fate.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
"In the following excerpt, change the adjectives to more exciting synonyms","She walked around the dull, grey park","She wandered through the drab, dismal park.","In the following excerpt, change the adjectives to more exciting synonyms

She walked around the dull, grey park","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

In the following excerpt, change the adjectives to more exciting synonyms

She walked around the dull, grey park<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Please generate a title for a paper about plastic pollution.,,A League of Our Own: The Emerging Crisis of Plastic Pollution.,Please generate a title for a paper about plastic pollution.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Please generate a title for a paper about plastic pollution.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
What does callisthenics refer to?,,"Callisthenics is a form of physical exercise that involves body-weight exercises, often without the use of equipment. It is designed to improve physical strength, flexibility and coordination.",What does callisthenics refer to?,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

What does callisthenics refer to?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
What medical problems can potentially be caused by long-term use of technology?,,"Long-term use of technology can cause a range of health problems including physical aches and pains, such as muscle and joint pain and headaches, as well as mental health problems, such as depression, anxiety, and difficulty concentrating. It can also lead to eyestrain, sleep disturbances, and an increase in risk for certain medical conditions, such as obesity, diabetes, and cardiovascular disease. Technology overuse can also lead to decreased social connections and isolation.",What medical problems can potentially be caused by long-term use of technology?,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

What medical problems can potentially be caused by long-term use of technology?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Suggest a transition word to add to the following sentence.,She usually ate sandwiches,"She usually ate sandwiches, but today she opted for something different.","Suggest a transition word to add to the following sentence.

She usually ate sandwiches","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Suggest a transition word to add to the following sentence.

She usually ate sandwiches<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Name one of the most common terminologies used in cricket.,,Runs.,Name one of the most common terminologies used in cricket.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Name one of the most common terminologies used in cricket.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Write a news article summarizing the given input information.,"A video of a woman climbing the flagpole of the US Capitol building, while wearing only a t-shirt and leggings, went viral on social media on December 1st. Several social media users criticized the police for not reacting more quickly to the incident.","On December 1st, a video of a woman climbing a flagpole at the US Capitol building while wearing only a t-shirt and leggings went viral on social media. The incident caused uproar and criticism of the Capitol Police, who failed to respond quickly to the event. The woman was Eventually apprehended and the flagpole was taken down shortly after the incident.","Write a news article summarizing the given input information.

A video of a woman climbing the flagpole of the US Capitol building, while wearing only a t-shirt and leggings, went viral on social media on December 1st. Several social media users criticized the police for not reacting more quickly to the incident.","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Write a news article summarizing the given input information.

A video of a woman climbing the flagpole of the US Capitol building, while wearing only a t-shirt and leggings, went viral on social media on December 1st. Several social media users criticized the police for not reacting more quickly to the incident.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
List three of the most common problems faced by small businesses.,,"Three of the most common problems faced by small businesses are lack of sufficient capital, managing cash flow, and dealing with regulations and legal requirements.",List three of the most common problems faced by small businesses.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

List three of the most common problems faced by small businesses.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
